param I := 1;
param T := 12;
param Y := 2;

set c := CropA;
set g := gsA gsB gsC ;


param t_seed :=
CropA gsA 1 1
CropA gsA 2 2
CropA gsA 3 9
CropA gsA 4 4
CropA gsA 5 5
CropA gsA 6 6
CropA gsA 7 7
CropA gsA 8 8
CropA gsA 9 9
CropA gsA 10 10
CropA gsA 11 11
CropA gsA 12 12

CropA gsB 1 1
CropA gsB 2 2
CropA gsB 3 3
CropA gsB 4 4
CropA gsB 5 5
CropA gsB 6 6
CropA gsB 7 7
CropA gsB 8 4
CropA gsB 9 9
CropA gsB 10 10
CropA gsB 11 11
CropA gsB 12 12

CropA gsC 1 1
CropA gsC 2 2
CropA gsC 3 3
CropA gsC 4 4
CropA gsC 5 5
CropA gsC 6 6
CropA gsC 7 7
CropA gsC 8 8
CropA gsC 9 9
CropA gsC 10 2
CropA gsC 11 11
CropA gsC 12 12;


param  t_harvest :=
CropA gsA 1 0
CropA gsA 2 0
CropA gsA 3 0
CropA gsA 4 1
CropA gsA 5 0
CropA gsA 6 0
CropA gsA 7 0
CropA gsA 8 0
CropA gsA 9 0
CropA gsA 10 0
CropA gsA 11 0
CropA gsA 12 0

CropA gsB 1 0
CropA gsB 2 0
CropA gsB 3 0
CropA gsB 4 0
CropA gsB 5 0
CropA gsB 6 0
CropA gsB 7 0
CropA gsB 8 1
CropA gsB 9 0
CropA gsB 10 0
CropA gsB 11 0
CropA gsB 12 0

CropA gsC 1 0
CropA gsC 2 0
CropA gsC 3 0
CropA gsC 4 0
CropA gsC 5 0
CropA gsC 6 0
CropA gsC 7 0
CropA gsC 8 0
CropA gsC 9 0
CropA gsC 10 1
CropA gsC 11 0
CropA gsC 12 0;


param L_req_Fg :=
1 CropA gsA 10
1 CropA gsB 10
1 CropA gsC 10;

param L_Agr :=
1 100;

param P :=
CropA 10;

param C_Fg :=
CropA 5;

param GS :=
CropA gsA 1 1
CropA gsA 2 1
CropA gsA 3 1
CropA gsA 4 0
CropA gsA 5 0
CropA gsA 6 0
CropA gsA 7 0
CropA gsA 8 0
CropA gsA 9 1
CropA gsA 10 1
CropA gsA 11 1
CropA gsA 12 1

CropA gsB 1 0
CropA gsB 2 0
CropA gsB 3 0
CropA gsB 4 1
CropA gsB 5 1
CropA gsB 6 1
CropA gsB 7 1
CropA gsB 8 1
CropA gsB 9 0
CropA gsB 10 0
CropA gsB 11 0
CropA gsB 12 0

CropA gsC 1 0
CropA gsC 2 1
CropA gsC 3 1
CropA gsC 4 1
CropA gsC 5 1
CropA gsC 6 1
CropA gsC 7 1
CropA gsC 8 1
CropA gsC 9 1
CropA gsC 10 1
CropA gsC 11 0
CropA gsC 12 0;

param t_seedmonth :=
CropA gsA 9
CropA gsB 4
CropA gsC 2;
