Model unknown

  Variables:
    Q : Size=23409, Index=Q_index
        Key        : Lower : Value : Upper : Fixed : Stale : Domain
            (0, 0) :     0 :   0.0 :     1 : False : False : Binary
            (0, 1) :     0 :   0.0 :     1 : False : False : Binary
            (0, 2) :     0 :   0.0 :     1 : False : False : Binary
            (0, 3) :     0 :   0.0 :     1 : False : False : Binary
            (0, 4) :     0 :   0.0 :     1 : False : False : Binary
            (0, 5) :     0 :   0.0 :     1 : False : False : Binary
            (0, 6) :     0 :   0.0 :     1 : False : False : Binary
            (0, 7) :     0 :   0.0 :     1 : False : False : Binary
            (0, 8) :     0 :   0.0 :     1 : False : False : Binary
            (0, 9) :     0 :   0.0 :     1 : False : False : Binary
           (0, 10) :     0 :   0.0 :     1 : False : False : Binary
           (0, 11) :     0 :   0.0 :     1 : False : False : Binary
           (0, 12) :     0 :   0.0 :     1 : False : False : Binary
           (0, 13) :     0 :   0.0 :     1 : False : False : Binary
           (0, 14) :     0 :   0.0 :     1 : False : False : Binary
           (0, 15) :     0 :   0.0 :     1 : False : False : Binary
           (0, 16) :     0 :   0.0 :     1 : False : False : Binary
           (0, 17) :     0 :   0.0 :     1 : False : False : Binary
           (0, 18) :     0 :   0.0 :     1 : False : False : Binary
           (0, 19) :     0 :   0.0 :     1 : False : False : Binary
           (0, 20) :     0 :   0.0 :     1 : False : False : Binary
           (0, 21) :     0 :   0.0 :     1 : False : False : Binary
           (0, 22) :     0 :   0.0 :     1 : False : False : Binary
           (0, 23) :     0 :   0.0 :     1 : False : False : Binary
           (0, 24) :     0 :   0.0 :     1 : False : False : Binary
           (0, 25) :     0 :   0.0 :     1 : False : False : Binary
           (0, 26) :     0 :   0.0 :     1 : False : False : Binary
           (0, 27) :     0 :   0.0 :     1 : False : False : Binary
           (0, 28) :     0 :   0.0 :     1 : False : False : Binary
           (0, 29) :     0 :   0.0 :     1 : False : False : Binary
           (0, 30) :     0 :   0.0 :     1 : False : False : Binary
           (0, 31) :     0 :   0.0 :     1 : False : False : Binary
           (0, 32) :     0 :   0.0 :     1 : False : False : Binary
           (0, 33) :     0 :   0.0 :     1 : False : False : Binary
           (0, 34) :     0 :   0.0 :     1 : False : False : Binary
           (0, 35) :     0 :   0.0 :     1 : False : False : Binary
           (0, 36) :     0 :   0.0 :     1 : False : False : Binary
           (0, 37) :     0 :   0.0 :     1 : False : False : Binary
           (0, 38) :     0 :   0.0 :     1 : False : False : Binary
           (0, 39) :     0 :   0.0 :     1 : False : False : Binary
           (0, 40) :     0 :   0.0 :     1 : False : False : Binary
           (0, 41) :     0 :   0.0 :     1 : False : False : Binary
           (0, 42) :     0 :   0.0 :     1 : False : False : Binary
           (0, 43) :     0 :   0.0 :     1 : False : False : Binary
           (0, 44) :     0 :   0.0 :     1 : False : False : Binary
           (0, 45) :     0 :   0.0 :     1 : False : False : Binary
           (0, 46) :     0 :   0.0 :     1 : False : False : Binary
           (0, 47) :     0 :   0.0 :     1 : False : False : Binary
           (0, 48) :     0 :   0.0 :     1 : False : False : Binary
           (0, 49) :     0 :   0.0 :     1 : False : False : Binary
           (0, 50) :     0 :   0.0 :     1 : False : False : Binary
           (0, 51) :     0 :   0.0 :     1 : False : False : Binary
           (0, 52) :     0 :   0.0 :     1 : False : False : Binary
           (0, 53) :     0 :   0.0 :     1 : False : False : Binary
           (0, 54) :     0 :   0.0 :     1 : False : False : Binary
